"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,          76,      -5.500296472,      -5.101616952,      -5.277834921,      -4.711491254
          0,           0,          77,      -5.529634846,      -5.128557319,       -5.30900311,      -4.745028091
          0,           0,          78,      -5.510846984,      -5.116379047,       -5.28188516,      -4.727159208
          0,           0,          79,      -5.540259989,      -5.143878782,       -5.31222879,      -4.761473882
          0,           0,          80,      -5.518338126,        -5.1287968,      -5.282574654,      -4.739463738
          0,           0,          81,      -5.547077415,      -5.156155219,      -5.311225074,      -4.773651628
          0,           0,          82,      -5.523574198,      -5.138938971,      -5.281395988,      -4.748705181
          0,           0,          83,      -5.552840929,      -5.167077708,      -5.309956068,      -4.783793822
          0,           0,          84,      -5.528928821,      -5.148760541,      -5.281005436,       -4.75751849
          0,           0,          85,      -5.559631572,      -5.178444466,      -5.310803276,      -4.794704102
          0,           0,          86,      -5.534518199,      -5.158414866,      -5.281903758,      -4.766538047
          0,           0,          87,      -5.565746911,      -5.188741967,      -5.312331726,      -4.804879555
          0,           0,          88,      -5.538441398,      -5.166085567,      -5.282352821,        -4.7734954
          0,           0,          89,      -5.569325289,      -5.196346895,      -5.312248249,       -4.81192296
          0,           0,          90,      -5.540488992,      -5.171685664,      -5.281505481,      -4.777930641
          0,           0,          91,      -5.571405046,      -5.202346532,      -5.310961051,      -4.816803752
          0,           0,          92,       -5.54224504,      -5.176761256,      -5.280531764,      -4.781674217
          0,           0,          93,       -5.57399752,      -5.208462607,      -5.310392249,      -4.821917736
          0,           0,          94,      -5.544769018,      -5.182163229,      -5.280445373,      -4.786157474
          0,           0,          95,      -5.577664915,       -5.21508095,      -5.311073937,      -4.828198253
          0,           0,          96,      -5.547804741,      -5.187683907,      -5.280945189,      -4.791208214
          0,           0,          97,      -5.581765953,      -5.221834425,       -5.31217332,      -4.834967417
          0,           0,          98,      -5.551264145,      -5.193448445,      -5.281900291,      -4.796623457
          0,           0,          99,      -5.585366027,      -5.228073311,      -5.312991008,      -4.840856323
          0,           0,         100,      -5.553540877,      -5.198116016,      -5.282005217,      -4.800444926
          0,           0,         101,      -5.587782102,      -5.233192968,      -5.313046361,      -4.845339915
          0,           0,         102,      -5.555561031,      -5.202394835,      -5.282390467,       -4.80391576
          0,           0,         103,      -5.589918141,       -5.23782823,      -5.313568718,      -4.849333438
          0,           0,         104,       -5.55716545,      -5.206025612,      -5.282929896,       -4.80680936
          0,           0,         105,      -5.591624384,      -5.241672313,      -5.314151625,      -4.852743418
          0,           0,         106,      -5.558021424,      -5.208564254,      -5.282979905,      -4.808922857
          0,           0,         107,      -5.593026861,      -5.244788487,      -5.314687229,      -4.855757357
          0,           0,         108,      -5.558834723,       -5.21070834,      -5.283209893,      -4.810800606
          0,           0,         109,      -5.594345652,      -5.247505861,      -5.315336915,      -4.858371082
          0,           0,         110,       -5.55964557,      -5.212638942,      -5.283629686,      -4.812441173
          0,           0,         111,      -5.595545027,      -5.249954251,      -5.316129082,      -4.860623655
          0,           0,         112,      -5.560323817,      -5.214371503,      -5.284194766,      -4.813790108
          0,           0,         113,      -5.596467579,      -5.252107477,      -5.317017233,      -4.862396997
          0,           0,         114,      -5.560707497,      -5.215817348,      -5.284784085,      -4.814684446
          0,           0,         115,      -5.596999957,      -5.253902839,      -5.317832603,      -4.863553934
          0,           0,         116,      -5.560853914,      -5.217040004,      -5.285330115,      -4.815178975
          0,           0,         117,      -5.597351542,      -5.255522659,      -5.318580508,      -4.864315673
          0,           0,         118,      -5.561005826,      -5.218236764,      -5.285876362,      -4.815551712
          0,           0,         119,      -5.597872201,      -5.257232419,      -5.319388076,      -4.865142934
          0,           0,         120,      -5.561425194,      -5.219584881,      -5.286525588,       -4.81615896
          0,           0,         121,      -5.598820474,      -5.259189115,      -5.320378884,      -4.866434552
          0,           0,         122,      -5.562241521,      -5.221139884,      -5.287342625,      -4.817200682
          0,           0,         123,      -5.600190439,      -5.261328109,       -5.32153281,      -4.868141288
          0,           0,         124,      -5.563079027,      -5.222512429,      -5.287897053,      -4.818329301
          0,           0,         125,      -5.601761271,      -5.263430265,      -5.322590907,      -4.870181203
          0,           0,         126,      -5.564111516,      -5.223884815,      -5.288460923,      -4.819679623
          0,           0,         127,      -5.603561276,      -5.265562277,      -5.323698428,      -4.872511159
          0,           0,         128,        -5.5653823,      -5.225339307,      -5.289178941,      -4.821228843
          0,           0,         129,      -5.605445476,      -5.267637322,      -5.324793397,      -4.874941124
