"PointID","x","y","Pressure","Velocity_x","Velocity_y","Nu_Tilde","Pressure_Coefficient","Density","Laminar_Viscosity","Heat_Capacity","Thermal_Conductivity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
12, 9.913405853758703e-01, 1.479907349918346e-04, -3.373379038593750e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, -6.746758077187502e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 2.877264654839679e-03, -1.057673869035593e-04, -0.000000000000000e+00, 1.178542752700587e+01, 0.000000000000000e+00
13, 9.911460340073484e-01, 1.551423850259934e-04, 2.530943179071944e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 5.061886358143888e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 2.790135654284339e-03, -1.025645509403680e-04, -0.000000000000000e+00, 1.160557358707402e+01, 0.000000000000000e+00
14, 9.909333041231237e-01, 1.629622718524991e-04, 4.720389182436166e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 9.440778364872333e-02, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 2.564251342174540e-03, -9.426111128483027e-05, -0.000000000000000e+00, 1.112582815157145e+01, 0.000000000000000e+00
15, 9.907007056935452e-01, 1.715125204551123e-04, 8.517071611736673e-02, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.703414322347335e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 2.399658590604725e-03, -8.821073103651539e-05, -0.000000000000000e+00, 1.076277884830323e+01, 0.000000000000000e+00
16, 9.904463932417824e-01, 1.808609700093647e-04, 1.052205826456406e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.104411652912813e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 2.205734215565262e-03, -8.108212909498751e-05, -0.000000000000000e+00, 1.031866205702834e+01, 0.000000000000000e+00
17, 9.901683518737542e-01, 1.910816874181599e-04, 1.277875113646287e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.555750227292575e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 2.045378638251084e-03, -7.518750610317763e-05, -0.000000000000000e+00, 9.936425425398172e+00, 0.000000000000000e+00
18, 9.898643821170570e-01, 2.022555246282651e-04, 1.425599702548613e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 2.851199405097226e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.892069386778124e-03, -6.955190393871575e-05, -0.000000000000000e+00, 9.556694528690267e+00, 0.000000000000000e+00
19, 9.895320834801976e-01, 2.144707229879704e-04, 1.561876469035322e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.123752938070645e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.762543852633786e-03, -6.479058409955844e-05, -0.000000000000000e+00, 9.223680453931911e+00, 0.000000000000000e+00
20, 9.891688366394905e-01, 2.278235680514053e-04, 1.652963155101859e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.305926310203720e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.648622640343892e-03, -6.060287445784199e-05, -0.000000000000000e+00, 8.920499694645788e+00, 0.000000000000000e+00
21, 9.887717841574662e-01, 2.424190983640721e-04, 1.723558951975457e-01, 0.000000000000000e+00, 0.000000000000000e+00, 0.000000000000000e+00, 3.447117903950914e-01, 1.000000000000000e+00, 4.793315743183817e-07, 3.216724105000000e+02, 2.141496429718802e-04, 1.554592598007019e-03, -5.714635826574268e-05, -0.000000000000000e+00, 8.662239348341560e+00, 0.000000000000000e+00
