"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -4.985974479,       -4.39555527,      -4.444139336,      -9.993133704
          0,           0,          77,      -4.988942847,      -4.403577848,      -4.468383299,        -9.9885987
          0,           0,          78,      -4.990822915,      -4.410835735,      -4.489801553,      -9.984506652
          0,           0,          79,      -4.991973775,      -4.417098081,      -4.506795803,      -9.980676525
          0,           0,          80,      -4.992760644,       -4.42218953,      -4.518144286,      -9.976959931
          0,           0,          81,      -4.993836231,      -4.425984703,      -4.523147404,      -9.973221323
          0,           0,          82,       -4.99573131,      -4.428433784,      -4.522151061,      -9.969255377
          0,           0,          83,      -4.999037226,      -4.429566879,      -4.516232111,      -9.964899306
          0,           0,          84,      -5.004278969,      -4.429497558,      -4.506931182,      -9.960135946
          0,           0,          85,      -5.011851112,      -4.428419413,      -4.495945952,       -9.95478111
          0,           0,          86,      -5.022059064,      -4.426579468,      -4.484673227,      -9.948818552
          0,           0,          87,      -5.035026386,      -4.424276589,      -4.474282022,      -9.942289449
          0,           0,          88,       -5.05078416,      -4.421828777,      -4.465591568,       -9.93522192
          0,           0,          89,      -5.069132137,       -4.41954859,       -4.45913848,      -9.927761473
          0,           0,          90,       -5.08969322,      -4.417747311,      -4.455288882,       -9.92010791
          0,           0,          91,      -5.111928565,      -4.416706277,       -4.45422826,      -9.912336199
          0,           0,          92,      -5.134944522,      -4.416666913,      -4.456064908,      -9.904540458
          0,           0,          93,      -5.157562834,       -4.41784808,      -4.460841815,      -9.896776184
          0,           0,          94,       -5.17850421,      -4.420429121,      -4.468503849,       -9.88916448
          0,           0,          95,       -5.19628843,       -4.42453228,      -4.478994909,      -9.881602356
          0,           0,          96,      -5.209540736,      -4.430255057,      -4.492198891,      -9.874327571
          0,           0,          97,       -5.21741071,      -4.437643969,       -4.50792424,      -9.867283884
          0,           0,          98,       -5.21982969,      -4.446685166,      -4.525886358,      -9.860508656
          0,           0,          99,       -5.21740931,      -4.457295808,      -4.545725463,      -9.854019217
          0,           0,         100,      -5.211257241,      -4.469327163,      -4.566920411,      -9.847765398
          0,           0,         101,      -5.202786533,      -4.482537589,      -4.588766564,      -9.841496953
          0,           0,         102,      -5.193409271,      -4.496582827,      -4.610354969,      -9.835246654
          0,           0,         103,      -5.184329627,      -4.511013812,      -4.630595348,      -9.828969146
          0,           0,         104,      -5.176463422,      -4.525287013,      -4.648300282,      -9.822492233
          0,           0,         105,      -5.170486146,      -4.538790575,      -4.662306106,      -9.815732151
          0,           0,         106,       -5.16686746,      -4.550888388,      -4.671751782,      -9.808650762
          0,           0,         107,      -5.165872772,       -4.56100926,      -4.676265593,      -9.801151287
          0,           0,         108,      -5.167649944,      -4.568728498,      -4.676029592,      -9.793212385
          0,           0,         109,      -5.172297081,      -4.573836291,      -4.671742789,      -9.784762741
          0,           0,         110,      -5.179861172,      -4.576385924,      -4.664457197,      -9.775871112
          0,           0,         111,      -5.190333741,      -4.576688823,      -4.655365328,      -9.766633551
          0,           0,         112,      -5.203649769,      -4.575258723,      -4.645614703,      -9.757177896
          0,           0,         113,      -5.219682254,      -4.572723037,      -4.636193549,      -9.747429286
          0,           0,         114,      -5.238228638,      -4.569737521,      -4.627888133,      -9.737411638
          0,           0,         115,       -5.25898922,       -4.56691623,      -4.621288468,      -9.727074131
          0,           0,         116,      -5.281539116,      -4.564788169,      -4.616816772,      -9.716272991
          0,           0,         117,      -5.305297035,      -4.563775559,      -4.614761521,      -9.705408053
          0,           0,         118,      -5.329499529,      -4.564188062,      -4.615308001,      -9.694615473
          0,           0,         119,      -5.353197027,      -4.566226644,      -4.618561696,      -9.683924502
          0,           0,         120,      -5.375295234,      -4.569990382,      -4.624563528,      -9.673392935
          0,           0,         121,      -5.394663781,      -4.575483659,      -4.633297214,      -9.663183887
          0,           0,         122,      -5.410314387,      -4.582620282,      -4.644689402,      -9.653282365
          0,           0,         123,      -5.421609414,      -4.591226923,      -4.658602977,      -9.643747542
