"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     ,     "rms[nu]"    
          0,           0,          76,      -5.006771425,      -4.533616292,      -4.626707056,      -10.05043361
          0,           0,          77,      -5.015580993,       -4.53827319,       -4.63415879,      -10.04594709
          0,           0,          78,      -5.023256979,      -4.542767572,      -4.634630623,      -10.04112233
          0,           0,          79,      -5.029674862,      -4.547557836,      -4.630003299,      -10.03630377
          0,           0,          80,      -5.035235958,      -4.552862513,      -4.622344734,      -10.03140444
          0,           0,          81,      -5.040360572,      -4.558859984,      -4.613690126,       -10.0263404
          0,           0,          82,      -5.045592617,      -4.565627138,      -4.605715666,      -10.02096469
          0,           0,          83,      -5.051502462,      -4.573134597,      -4.599655364,      -10.01521274
          0,           0,          84,      -5.058599437,      -4.581266782,      -4.596370729,      -10.00905669
          0,           0,          85,      -5.067484656,      -4.589764242,      -4.596346851,      -10.00253961
          0,           0,          86,      -5.078340722,      -4.598314206,      -4.599821127,      -9.995955749
          0,           0,          87,      -5.091270838,      -4.606585958,      -4.606883906,      -9.989124628
          0,           0,          88,      -5.106185178,       -4.61425281,      -4.617452906,      -9.982104229
          0,           0,          89,      -5.122756617,      -4.621053119,      -4.631311182,      -9.974941461
          0,           0,          90,       -5.14056955,      -4.626814155,      -4.648079779,      -9.967748301
          0,           0,          91,       -5.15917194,      -4.631506274,      -4.667163822,      -9.960532968
          0,           0,          92,      -5.177955929,      -4.635247983,      -4.687837976,      -9.953071572
          0,           0,          93,      -5.196372636,       -4.63827286,      -4.709160804,      -9.945805828
          0,           0,          94,      -5.213863209,      -4.640952114,      -4.730039485,      -9.938829594
          0,           0,          95,      -5.230109511,      -4.643700727,      -4.749345282,       -9.93215793
          0,           0,          96,      -5.244960569,      -4.646950055,      -4.766067952,      -9.925819628
          0,           0,          97,       -5.25821091,      -4.651145496,       -4.77955593,      -9.919816814
          0,           0,          98,      -5.270560191,      -4.656529719,      -4.789597473,      -9.914146876
          0,           0,          99,      -5.282265162,      -4.663355918,      -4.796524124,      -9.908762421
          0,           0,         100,      -5.293605849,       -4.67178584,      -4.801130544,      -9.903626189
          0,           0,         101,      -5.304871837,      -4.681856248,      -4.804485464,      -9.898682046
