NACA 0003
 1.0000000     0.0003150
 0.9928006     0.0005664
 0.9798895     0.0010118
 0.9635184     0.0015665
 0.9445469     0.0021958
 0.9234998     0.0028777
 0.9007495     0.0035960
 0.8765830     0.0043384
 0.8512328     0.0050952
 0.8248944     0.0058581
 0.7977362     0.0066204
 0.7699063     0.0073761
 0.7415373     0.0081198
 0.7127487     0.0088469
 0.6836500     0.0095527
 0.6543419     0.0102331
 0.6249182     0.0108839
 0.5954661     0.0115011
 0.5660677     0.0120807
 0.5368005     0.0126187
 0.5077378     0.0131114
 0.4789491     0.0135548
 0.4505011     0.0139454
 0.4224571     0.0142797
 0.3948782     0.0145542
 0.3678229     0.0147660
 0.3413476     0.0149123
 0.3155065     0.0149907
 0.2903524     0.0149992
 0.2659361     0.0149361
 0.2423068     0.0148003
 0.2195125     0.0145912
 0.1975998     0.0143087
 0.1766138     0.0139531
 0.1565988     0.0135252
 0.1375977     0.0130264
 0.1196525     0.0124585
 0.1028043     0.0118235
 0.0870931     0.0111242
 0.0725582     0.0103631
 0.0592379     0.0095433
 0.0471700     0.0086679
 0.0363913     0.0077401
 0.0269381     0.0067629
 0.0188458     0.0057391
 0.0121494     0.0046715
 0.0068832     0.0035623
 0.0030809     0.0024132
 0.0007756     0.0012256
 0.0000000     0.0000000
 0.0007756    -0.0012256
 0.0030809    -0.0024132
 0.0068832    -0.0035623
 0.0121494    -0.0046715
 0.0188458    -0.0057391
 0.0269381    -0.0067629
 0.0363913    -0.0077401
 0.0471700    -0.0086679
 0.0592379    -0.0095433
 0.0725582    -0.0103631
 0.0870931    -0.0111242
 0.1028043    -0.0118235
 0.1196525    -0.0124585
 0.1375977    -0.0130264
 0.1565988    -0.0135252
 0.1766138    -0.0139531
 0.1975998    -0.0143087
 0.2195125    -0.0145912
 0.2423068    -0.0148003
 0.2659361    -0.0149361
 0.2903524    -0.0149992
 0.3155065    -0.0149907
 0.3413476    -0.0149123
 0.3678229    -0.0147660
 0.3948782    -0.0145542
 0.4224571    -0.0142797
 0.4505011    -0.0139454
 0.4789491    -0.0135548
 0.5077378    -0.0131114
 0.5368005    -0.0126187
 0.5660677    -0.0120807
 0.5954661    -0.0115011
 0.6249182    -0.0108839
 0.6543419    -0.0102331
 0.6836500    -0.0095527
 0.7127487    -0.0088469
 0.7415373    -0.0081198
 0.7699063    -0.0073761
 0.7977362    -0.0066204
 0.8248944    -0.0058581
 0.8512328    -0.0050952
 0.8765830    -0.0043384
 0.9007495    -0.0035960
 0.9234998    -0.0028777
 0.9445469    -0.0021958
 0.9635184    -0.0015665
 0.9798895    -0.0010118
 0.9928006    -0.0005664
 1.0000000    -0.0003150
